02/09/2016 20:19:53:825 [08876] | INFO  | Initializing crosire's ReShade version '1.1.0.963' built on '2015-11-07 11:58:17' loaded from "C:\Guild Wars 2\bin64\d3d9.dll" to "C:\Guild Wars 2\Gw2-64.exe" ...
02/09/2016 20:19:53:951 [08876] | INFO  | Registering hooks for "C:\Windows\system32\d3d8.dll" ...
02/09/2016 20:19:53:951 [08876] | INFO  | > Delayed.
02/09/2016 20:19:53:951 [08876] | INFO  | Registering hooks for "C:\Windows\system32\d3d9.dll" ...
02/09/2016 20:19:53:951 [08876] | INFO  | > Delayed.
02/09/2016 20:19:53:951 [08876] | INFO  | Registering hooks for "C:\Windows\system32\d3d10.dll" ...
02/09/2016 20:19:53:953 [08876] | INFO  | > Delayed.
02/09/2016 20:19:53:953 [08876] | INFO  | Registering hooks for "C:\Windows\system32\d3d10_1.dll" ...
02/09/2016 20:19:53:954 [08876] | INFO  | > Delayed.
02/09/2016 20:19:53:954 [08876] | INFO  | Registering hooks for "C:\Windows\system32\d3d11.dll" ...
02/09/2016 20:19:53:954 [08876] | INFO  | > Delayed.
02/09/2016 20:19:53:954 [08876] | INFO  | Registering hooks for "C:\Windows\system32\d3d12.dll" ...
02/09/2016 20:19:53:954 [08876] | INFO  | > Delayed.
02/09/2016 20:19:53:954 [08876] | INFO  | Registering hooks for "C:\Windows\system32\dxgi.dll" ...
02/09/2016 20:19:53:955 [08876] | INFO  | > Libraries loaded.
02/09/2016 20:19:53:955 [08876] | INFO  | > Found 7 match(es). Installing ...
02/09/2016 20:19:54:173 [08876] | INFO  | > Installed 7 hook(s).
02/09/2016 20:19:54:173 [08876] | INFO  | Registering hooks for "C:\Windows\system32\opengl32.dll" ...
02/09/2016 20:19:54:175 [08876] | INFO  | > Delayed.
02/09/2016 20:19:54:175 [08876] | INFO  | Registering hooks for "C:\Windows\system32\user32.dll" ...
02/09/2016 20:19:54:175 [08876] | INFO  | > Libraries loaded.
02/09/2016 20:19:54:187 [08876] | INFO  | > Found 5 match(es). Installing ...
02/09/2016 20:19:54:344 [08876] | INFO  | > Installed 5 hook(s).
02/09/2016 20:19:54:344 [08876] | INFO  | Registering hooks for "C:\Windows\system32\ws2_32.dll" ...
02/09/2016 20:19:54:344 [08876] | INFO  | > Libraries loaded.
02/09/2016 20:19:54:347 [08876] | INFO  | > Found 8 match(es). Installing ...
02/09/2016 20:19:54:601 [08876] | INFO  | > Installed 8 hook(s).
02/09/2016 20:19:54:601 [08876] | INFO  | Initialized.
02/09/2016 20:20:21:012 [08524] | INFO  | Installing delayed hooks for "C:\Windows\system32\d3d9.dll" ...
02/09/2016 20:20:21:012 [08524] | INFO  | > Found 9 match(es). Installing ...
02/09/2016 20:20:21:012 [08524] | INFO  | > Installed 9 hook(s).
02/09/2016 20:21:01:115 [08876] | INFO  | Redirecting 'Direct3DCreate9(32)' ...
02/09/2016 20:21:01:176 [08876] | INFO  | Redirecting 'CreateDXGIFactory({7B7166EC-21C7-44AE-B21A-C9AE321AE369}, 000000775C7FF188)' ...
02/09/2016 20:21:01:179 [08876] | INFO  | Redirecting 'RegisterClassW(000000775C7FF680)' ...
02/09/2016 20:21:01:179 [08876] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'ArenaNet_Dx_Window_Class'.
02/09/2016 20:21:01:181 [08876] | INFO  | Redirecting 'RegisterRawInputDevices(000000775C7FF600, 1, 16)' ...
02/09/2016 20:21:01:187 [08876] | INFO  | Redirecting 'IDirect3D9::CreateDevice(0000017CEBAE9E60, 0, 1, 00000000000E0380, 0x56, 000000775C7FF720, 0000017CECB67138)' ...
02/09/2016 20:21:02:527 [08876] | INFO  | Recreated runtime environment on runtime 0000017CECC92740.
02/09/2016 20:21:02:770 [08876] | INFO  | Redirecting 'IDirect3DDevice9::Reset(0000017CF3E6CF10, 000000775C7FF770)' ...
02/09/2016 20:21:02:770 [08876] | INFO  | Destroyed runtime environment on runtime 0000017CECC92740.
02/09/2016 20:21:02:881 [08876] | INFO  | Recreated runtime environment on runtime 0000017CECC92740.
02/09/2016 20:21:05:440 [08876] | INFO  | Redirecting 'IDirect3DDevice9::Reset(0000017CF3E6CF10, 000000775C7FF790)' ...
02/09/2016 20:21:05:440 [08876] | INFO  | Destroyed runtime environment on runtime 0000017CECC92740.
02/09/2016 20:21:05:643 [08876] | INFO  | Recreated runtime environment on runtime 0000017CECC92740.
02/09/2016 20:21:05:674 [08876] | INFO  | Redirecting 'IDirect3DDevice9::Reset(0000017CF3E6CF10, 000000775C7FF870)' ...
02/09/2016 20:21:05:674 [08876] | INFO  | Destroyed runtime environment on runtime 0000017CECC92740.
